liga,jogo,data,estado,ronda,resultado,equipa,jogador,posicao,minutes_played,rating,touches,goals,goal_assist,expected_goals,expected_assists,total_shots,shots_on_target,key_pass,total_pass,accurate_pass,total_long_balls,accurate_long_balls,total_cross,accurate_cross,total_contest,won_contest,duel_won,duel_lost,aerial_won,aerial_lost,total_tackle,won_tackle,total_clearance,interception,ball_recovery,blocked_scoring_attempt,dispossessed,possession_lost,was_fouled,fouls,yellow_card,red_card,saves,goals_conceded,punches,atualizado_em
Alemanha Bundesliga 2026/2027,FC Bayern München - VfB Stuttgart,2026-08-28T18:30:00+00:00,finished,1,5-1,FC Bayern München,Aleksandar Pavlović,M,84,8.2,81,1,0,1.1592,0.214607,3,2,1,66,54,2,1,0,0,2,2,4,3,1,1,0,0,1,2,4,1,0,12,1,2,0,0,0,1,0,2026-09-01T10:43:18.383270+00:00
Alemanha Bundesliga 2026/2027,FC Bayern München - VfB Stuttgart,2026-08-28T18:30:00+00:00,finished,1,5-1,FC Bayern München,Alphonso Davies,D,74,7.4,60,0,0,,0.500477,0,0,4,44,35,2,1,0,0,2,2,5,1,1,1,0,0,3,1,4,0,0,11,2,0,0,0,0,1,0,2026-09-01T10:43:18.383280+00:00
Alemanha Bundesliga 2026/2027,FC Bayern München - VfB Stuttgart,2026-08-28T18:30:00+00:00,finished,1,5-1,VfB Stuttgart,Ameen Al-Dakhil,D,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.383652+00:00
Alemanha Bundesliga 2026/2027,FC Bayern München - VfB Stuttgart,2026-08-28T18:30:00+00:00,finished,1,5-1,VfB Stuttgart,Angelo Stiller,M,88,6.3,51,0,0,,0.0901261,0,0,2,43,38,1,0,0,0,0,0,3,4,0,0,2,1,2,1,3,0,0,6,1,3,0,0,0,4,0,2026-09-01T10:43:18.383521+00:00
Alemanha Bundesliga 2026/2027,FC Bayern München - VfB Stuttgart,2026-08-28T18:30:00+00:00,finished,1,5-1,FC Bayern München,Arijon Ibrahimović,M,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.383438+00:00
Alemanha Bundesliga 2026/2027,FC Bayern München - VfB Stuttgart,2026-08-28T18:30:00+00:00,finished,1,5-1,VfB Stuttgart,Atakan Karazor,M,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.383628+00:00
Alemanha Bundesliga 2026/2027,FC Bayern München - VfB Stuttgart,2026-08-28T18:30:00+00:00,finished,1,5-1,VfB Stuttgart,Badredine Bouanani,M,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.383660+00:00
Alemanha Bundesliga 2026/2027,FC Bayern München - VfB Stuttgart,2026-08-28T18:30:00+00:00,finished,1,5-1,FC Bayern München,Bara Sapoko Ndiaye,M,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:18.383370+00:00
Alemanha Bundesliga 2026/2027,FC Bayern München - VfB Stuttgart,2026-08-28T18:30:00+00:00,finished,1,5-1,VfB Stuttgart,Bilal El Khannouss,M,22,7.0,13,0,0,,0.0146562,0,0,0,10,8,0,0,0,0,0,0,3,0,0,0,2,1,0,0,1,0,0,2,1,0,0,0,0,2,0,2026-09-01T10:43:18.383603+00:00
Alemanha Bundesliga 2026/2027,FC Bayern München - VfB Stuttgart,2026-08-28T18:30:00+00:00,finished,1,5-1,VfB Stuttgart,Chema Andrés,M,8,6.5,5,0,0,,0.00331562,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2026-09-01T10:43:18.383613+00:00
Alemanha Bundesliga 2026/2027,FC Bayern München - VfB Stuttgart,2026-08-28T18:30:00+00:00,finished,1,5-1,FC Bayern München,Dayot Upamecano,D,96,8.0,79,1,0,0.2356,0.184535,1,1,1,62,54,2,1,0,0,1,1,7,3,5,2,1,1,8,3,6,0,0,8,0,0,0,0,0,1,0,2026-09-01T10:43:18.383132+00:00
Alemanha Bundesliga 2026/2027,FC Bayern München - VfB Stuttgart,2026-08-28T18:30:00+00:00,finished,1,5-1,VfB Stuttgart,Deniz Undav,F,74,6.0,29,0,0,,0.0580973,0,0,1,19,11,1,0,0,0,0,0,1,8,0,3,1,1,0,1,2,0,1,12,0,1,0,0,0,3,0,2026-09-01T10:43:18.383542+00:00
Alemanha Bundesliga 2026/2027,FC Bayern München - VfB Stuttgart,2026-08-28T18:30:00+00:00,finished,1,5-1,VfB Stuttgart,Dženan Pejčinović,F,63,6.1,25,0,0,0.0466,0.0415603,1,0,0,21,13,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,8,0,0,0,0,0,3,0,2026-09-01T10:43:18.383558+00:00
Alemanha Bundesliga 2026/2027,FC Bayern München - VfB Stuttgart,2026-08-28T18:30:00+00:00,finished,1,5-1,VfB Stuttgart,Ermedin Demirović,F,33,6.2,11,0,0,0.1183,0.00186093,2,0,0,5,3,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,4,1,1,0,0,0,2,0,2026-09-01T10:43:18.383586+00:00
Alemanha Bundesliga 2026/2027,FC Bayern München - VfB Stuttgart,2026-08-28T18:30:00+00:00,finished,1,5-1,VfB Stuttgart,Fabian Bredlow,G,96,7.8,59,0,0,,0.00458642,0,0,0,42,22,32,12,0,0,0,0,1,1,1,0,0,0,6,0,14,0,0,20,0,0,0,0,5,5,3,2026-09-01T10:43:18.383454+00:00
Alemanha Bundesliga 2026/2027,FC Bayern München - VfB Stuttgart,2026-08-28T18:30:00+00:00,finished,1,5-1,VfB Stuttgart,Finn Jeltsch,D,96,6.4,42,0,0,,0.0125712,0,0,0,27,23,4,3,0,0,0,0,5,5,0,2,4,3,2,2,4,0,0,5,1,2,1,0,0,5,0,2026-09-01T10:43:18.383470+00:00
Alemanha Bundesliga 2026/2027,FC Bayern München - VfB Stuttgart,2026-08-28T18:30:00+00:00,finished,1,5-1,VfB Stuttgart,Grischa Prömel,M,96,6.0,42,0,0,0.076,0.0683633,2,1,2,28,22,0,0,0,0,0,0,2,7,1,3,0,0,1,2,2,1,0,8,1,2,1,0,0,5,0,2026-09-01T10:43:18.383504+00:00
Alemanha Bundesliga 2026/2027,FC Bayern München - VfB Stuttgart,2026-08-28T18:30:00+00:00,finished,1,5-1,FC Bayern München,Harry Kane,F,84,7.0,35,0,0,0.0935,0.560458,2,0,2,25,17,5,2,0,0,1,0,5,5,0,3,0,0,0,0,2,2,1,11,5,0,0,0,0,1,0,2026-09-01T10:43:18.383249+00:00
