liga,jogo,data,estado,ronda,resultado,equipa,jogador,posicao,minutes_played,rating,touches,goals,goal_assist,expected_goals,expected_assists,total_shots,shots_on_target,key_pass,total_pass,accurate_pass,total_long_balls,accurate_long_balls,total_cross,accurate_cross,total_contest,won_contest,duel_won,duel_lost,aerial_won,aerial_lost,total_tackle,won_tackle,total_clearance,interception,ball_recovery,blocked_scoring_attempt,dispossessed,possession_lost,was_fouled,fouls,yellow_card,red_card,saves,goals_conceded,punches,atualizado_em
Dinamarca Danish Superliga 2026/2027,Viborg FF - Odense Boldklub,2026-07-24T17:00:00+00:00,finished,1,1-0,Viborg FF,,,90,8.0,42,1,0,0.9235,0.00658069,1,1,0,24,11,3,1,5,1,1,1,4,5,0,1,2,2,1,1,8,0,2,21,1,0,0,0,0,0,0,2026-09-01T10:43:20.172070+00:00
Dinamarca Danish Superliga 2026/2027,Viborg FF - Odense Boldklub,2026-07-24T17:00:00+00:00,finished,1,1-0,Odense Boldklub,Adam Amrani,D,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:20.172465+00:00
Dinamarca Danish Superliga 2026/2027,Viborg FF - Odense Boldklub,2026-07-24T17:00:00+00:00,finished,1,1-0,Viborg FF,Adam Kleis-Kristoffersen,F,9,6.6,7,0,0,0.4216,0.00036264,1,0,0,3,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,2026-09-01T10:43:20.172284+00:00
Dinamarca Danish Superliga 2026/2027,Viborg FF - Odense Boldklub,2026-07-24T17:00:00+00:00,finished,1,1-0,Odense Boldklub,Adam Sørensen,D,90,6.6,53,0,0,0.3397,0.125773,2,0,2,26,20,3,2,4,2,2,2,3,3,0,2,0,0,1,3,1,2,0,9,1,1,0,0,0,1,0,2026-09-01T10:43:20.172352+00:00
Dinamarca Danish Superliga 2026/2027,Viborg FF - Odense Boldklub,2026-07-24T17:00:00+00:00,finished,1,1-0,Viborg FF,Asker Beck,M,76,6.4,32,0,0,0.0349,0.0137439,1,1,0,20,13,3,1,0,0,3,1,3,5,1,1,1,1,0,0,2,0,1,12,0,0,0,0,0,0,0,2026-09-01T10:43:20.172220+00:00
Dinamarca Danish Superliga 2026/2027,Viborg FF - Odense Boldklub,2026-07-24T17:00:00+00:00,finished,1,1-0,Viborg FF,Bilal Brahimi,M,57,6.5,23,0,0,0.1847,0.0072998,2,0,0,17,15,3,3,0,0,0,0,1,3,0,1,0,0,1,0,5,0,0,4,1,1,0,0,0,0,0,2026-09-01T10:43:20.172239+00:00
Dinamarca Danish Superliga 2026/2027,Viborg FF - Odense Boldklub,2026-07-24T17:00:00+00:00,finished,1,1-0,Viborg FF,Charly Nouck,F,80,6.8,41,0,0,0.1818,0.325114,2,0,4,15,9,0,0,5,1,6,3,6,9,0,0,2,0,0,0,4,1,1,17,1,3,0,0,0,0,0,2026-09-01T10:43:20.172203+00:00
Dinamarca Danish Superliga 2026/2027,Viborg FF - Odense Boldklub,2026-07-24T17:00:00+00:00,finished,1,1-0,Viborg FF,Daniel Anyembe,D,14,7.1,9,0,0,,2.625e-05,0,0,0,2,2,0,0,0,0,0,0,3,1,1,0,2,2,1,1,0,0,1,2,0,0,0,0,0,0,0,2026-09-01T10:43:20.172257+00:00
Dinamarca Danish Superliga 2026/2027,Viborg FF - Odense Boldklub,2026-07-24T17:00:00+00:00,finished,1,1-0,Viborg FF,Dorian Hanza,F,81,7.0,28,0,0,0.1052,0.0366218,1,1,1,11,8,0,0,0,0,3,2,7,4,2,1,0,0,1,1,3,0,2,11,3,0,0,0,0,0,0,2026-09-01T10:43:20.172093+00:00
Dinamarca Danish Superliga 2026/2027,Viborg FF - Odense Boldklub,2026-07-24T17:00:00+00:00,finished,1,1-0,Viborg FF,Emil Monrad,D,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:20.172302+00:00
Dinamarca Danish Superliga 2026/2027,Viborg FF - Odense Boldklub,2026-07-24T17:00:00+00:00,finished,1,1-0,Odense Boldklub,Fiete Arp,F,87,6.6,70,0,0,0.2055,0.672246,7,2,3,36,24,5,2,5,1,5,2,6,9,0,0,2,2,2,1,7,0,2,24,2,1,0,0,0,1,0,2026-09-01T10:43:20.172387+00:00
Dinamarca Danish Superliga 2026/2027,Viborg FF - Odense Boldklub,2026-07-24T17:00:00+00:00,finished,1,1-0,Viborg FF,Frederik Damkjer,M,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:20.172310+00:00
