liga,jogo,data,estado,ronda,resultado,equipa,jogador,posicao,minutes_played,rating,touches,goals,goal_assist,expected_goals,expected_assists,total_shots,shots_on_target,key_pass,total_pass,accurate_pass,total_long_balls,accurate_long_balls,total_cross,accurate_cross,total_contest,won_contest,duel_won,duel_lost,aerial_won,aerial_lost,total_tackle,won_tackle,total_clearance,interception,ball_recovery,blocked_scoring_attempt,dispossessed,possession_lost,was_fouled,fouls,yellow_card,red_card,saves,goals_conceded,punches,atualizado_em
Eredivisie 2026/2027,SC Cambuur - Excelsior,2026-08-07T18:00:00+00:00,finished,1,0-4,Excelsior,Aymen Sliti,F,19,6.9,10,0,0,0.0811,0.0185564,1,1,1,5,5,1,1,1,0,0,0,2,1,0,0,0,0,0,0,2,0,1,2,2,0,0,0,0,0,0,2026-09-01T10:43:19.146853+00:00
Eredivisie 2026/2027,SC Cambuur - Excelsior,2026-08-07T18:00:00+00:00,finished,1,0-4,SC Cambuur,Buddy Vogelzang,D,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:19.147095+00:00
Eredivisie 2026/2027,SC Cambuur - Excelsior,2026-08-07T18:00:00+00:00,finished,1,0-4,Excelsior,Casper Widell,D,20,6.6,15,0,0,,0.00099933,0,0,0,14,9,5,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,2026-09-01T10:43:19.146838+00:00
Eredivisie 2026/2027,SC Cambuur - Excelsior,2026-08-07T18:00:00+00:00,finished,1,0-4,Excelsior,Celton Biai,G,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:19.146916+00:00
Eredivisie 2026/2027,SC Cambuur - Excelsior,2026-08-07T18:00:00+00:00,finished,1,0-4,SC Cambuur,Damian Westerhof,M,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:19.147160+00:00
Eredivisie 2026/2027,SC Cambuur - Excelsior,2026-08-07T18:00:00+00:00,finished,1,0-4,Excelsior,Daniel van Vianen,M,94,7.0,44,0,0,0.1802,0.0496428,2,0,1,29,26,4,4,1,1,0,0,4,3,2,0,1,1,2,1,3,1,0,6,1,0,0,0,0,0,0,2026-09-01T10:43:19.146777+00:00
Eredivisie 2026/2027,SC Cambuur - Excelsior,2026-08-07T18:00:00+00:00,finished,1,0-4,Excelsior,David Garden,F,74,8.3,26,1,0,0.9735,0.0428414,3,2,1,16,10,1,0,0,0,3,3,9,2,5,1,0,0,2,0,3,0,0,7,1,1,0,0,0,0,0,2026-09-01T10:43:19.146829+00:00
Eredivisie 2026/2027,SC Cambuur - Excelsior,2026-08-07T18:00:00+00:00,finished,1,0-4,SC Cambuur,Ethan Apkakou,M,28,6.3,17,0,0,,0.00113101,0,0,0,13,11,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,3,0,1,0,0,0,1,0,2026-09-01T10:43:19.147040+00:00
Eredivisie 2026/2027,SC Cambuur - Excelsior,2026-08-07T18:00:00+00:00,finished,1,0-4,SC Cambuur,Fabian Kvam,M,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:19.147173+00:00
Eredivisie 2026/2027,SC Cambuur - Excelsior,2026-08-07T18:00:00+00:00,finished,1,0-4,Excelsior,Giuliano Cairo,D,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:19.146908+00:00
Eredivisie 2026/2027,SC Cambuur - Excelsior,2026-08-07T18:00:00+00:00,finished,1,0-4,Excelsior,Gyan de Regt,M,85,6.9,33,0,1,0.7749,0.100391,3,2,1,16,14,0,0,4,0,1,0,2,6,1,2,1,1,1,0,3,0,2,13,0,1,0,0,0,0,0,2026-09-01T10:43:19.146795+00:00
Eredivisie 2026/2027,SC Cambuur - Excelsior,2026-08-07T18:00:00+00:00,finished,1,0-4,Excelsior,Ilano Silva Timas,M,9,6.5,2,0,0,,0.00279395,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:43:19.146869+00:00
Eredivisie 2026/2027,SC Cambuur - Excelsior,2026-08-07T18:00:00+00:00,finished,1,0-4,SC Cambuur,Ilyes Hamache,M,94,7.1,30,0,0,0.0925,0.0558645,2,0,0,15,12,0,0,1,0,5,3,5,3,0,0,1,1,0,1,4,2,0,8,1,0,0,0,0,4,0,2026-09-01T10:43:19.146935+00:00
Eredivisie 2026/2027,SC Cambuur - Excelsior,2026-08-07T18:00:00+00:00,finished,1,0-4,Excelsior,Irakli Yegoian,M,75,8.7,52,1,1,0.234,0.637704,1,1,4,29,25,3,2,4,2,1,1,4,10,0,1,3,1,0,2,8,0,4,14,0,2,0,0,0,0,0,2026-09-01T10:43:19.146812+00:00
