liga,jogo,data,estado,ronda,resultado,equipa,jogador,posicao,minutes_played,rating,touches,goals,goal_assist,expected_goals,expected_assists,total_shots,shots_on_target,key_pass,total_pass,accurate_pass,total_long_balls,accurate_long_balls,total_cross,accurate_cross,total_contest,won_contest,duel_won,duel_lost,aerial_won,aerial_lost,total_tackle,won_tackle,total_clearance,interception,ball_recovery,blocked_scoring_attempt,dispossessed,possession_lost,was_fouled,fouls,yellow_card,red_card,saves,goals_conceded,punches,atualizado_em
Grecia Stoiximan Super League 2026/2027,APO Levadiakos - Panathinaikos FC,2026-08-31T16:30:00+00:00,finished,2,0-2,Panathinaikos FC,,,90,6.7,79,0,0,,0.0769884,0,0,2,59,52,2,2,0,0,2,1,6,10,0,1,2,1,0,1,5,0,3,12,3,3,0,0,0,0,0,2026-09-01T10:31:03.594894+00:00
Grecia Stoiximan Super League 2026/2027,APO Levadiakos - Panathinaikos FC,2026-08-31T16:30:00+00:00,finished,2,0-2,Panathinaikos FC,,,8,6.4,8,0,0,,0.258076,0,0,0,7,5,0,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,3,1,0,0,0,0,2026-09-01T10:31:03.595215+00:00
Grecia Stoiximan Super League 2026/2027,APO Levadiakos - Panathinaikos FC,2026-08-31T16:30:00+00:00,finished,2,0-2,APO Levadiakos,Adrian Șut,M,56,7.0,28,0,0,0.3859,0.472991,2,0,1,15,9,3,2,1,1,0,0,5,0,1,0,2,1,0,1,1,0,0,7,2,0,0,0,0,1,0,2026-09-01T10:31:03.595417+00:00
Grecia Stoiximan Super League 2026/2027,APO Levadiakos - Panathinaikos FC,2026-08-31T16:30:00+00:00,finished,2,0-2,Panathinaikos FC,Adriano Jagušić,M,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:31:03.595318+00:00
Grecia Stoiximan Super League 2026/2027,APO Levadiakos - Panathinaikos FC,2026-08-31T16:30:00+00:00,finished,2,0-2,APO Levadiakos,Agustín Urzi,F,80,7.2,43,0,0,,0.081531,0,0,1,22,18,0,0,6,2,4,2,7,3,0,0,1,1,2,0,3,0,1,12,4,0,0,0,0,2,0,2026-09-01T10:31:03.595408+00:00
Grecia Stoiximan Super League 2026/2027,APO Levadiakos - Panathinaikos FC,2026-08-31T16:30:00+00:00,finished,2,0-2,APO Levadiakos,Alexandru Grigoras Pantea,D,90,6.7,47,0,0,0.0649,0.0330249,3,1,1,27,19,2,1,3,1,1,0,3,5,1,0,2,1,2,1,2,2,0,11,0,3,0,0,0,2,0,2026-09-01T10:31:03.595370+00:00
Grecia Stoiximan Super League 2026/2027,APO Levadiakos - Panathinaikos FC,2026-08-31T16:30:00+00:00,finished,2,0-2,Panathinaikos FC,Andreas Tetteh,F,68,6.9,29,0,0,0.1844,0.400896,2,0,2,7,6,0,0,1,0,6,1,5,7,1,0,0,0,0,0,2,2,1,11,3,1,0,0,0,0,0,2026-09-01T10:31:03.594969+00:00
Grecia Stoiximan Super League 2026/2027,APO Levadiakos - Panathinaikos FC,2026-08-31T16:30:00+00:00,finished,2,0-2,APO Levadiakos,Christos Papadopoulos,M,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:31:03.595485+00:00
Grecia Stoiximan Super League 2026/2027,APO Levadiakos - Panathinaikos FC,2026-08-31T16:30:00+00:00,finished,2,0-2,Panathinaikos FC,Cyriel Dessers,F,22,7.8,12,1,0,0.1989,0.00579925,4,2,0,6,3,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2026-09-01T10:31:03.595035+00:00
Grecia Stoiximan Super League 2026/2027,APO Levadiakos - Panathinaikos FC,2026-08-31T16:30:00+00:00,finished,2,0-2,Panathinaikos FC,Davide Calabria,D,90,7.5,88,0,0,0.0532,0.0297385,1,0,0,53,45,12,10,2,0,1,0,4,5,0,2,4,3,4,2,6,0,1,15,0,0,0,0,0,0,0,2026-09-01T10:31:03.594941+00:00
Grecia Stoiximan Super League 2026/2027,APO Levadiakos - Panathinaikos FC,2026-08-31T16:30:00+00:00,finished,2,0-2,APO Levadiakos,Dimitrios Emmanouilidis,F,45,6.8,15,0,0,,0.0159323,0,0,0,12,5,0,0,0,0,1,0,2,3,1,2,1,1,1,0,2,0,0,8,0,0,0,0,0,1,0,2026-09-01T10:31:03.595443+00:00
