liga,jogo,data,estado,ronda,resultado,equipa,jogador,posicao,minutes_played,rating,touches,goals,goal_assist,expected_goals,expected_assists,total_shots,shots_on_target,key_pass,total_pass,accurate_pass,total_long_balls,accurate_long_balls,total_cross,accurate_cross,total_contest,won_contest,duel_won,duel_lost,aerial_won,aerial_lost,total_tackle,won_tackle,total_clearance,interception,ball_recovery,blocked_scoring_attempt,dispossessed,possession_lost,was_fouled,fouls,yellow_card,red_card,saves,goals_conceded,punches,atualizado_em
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Cerezo Osaka,Ayumu Ohata,D,90,6.7,69,0,0,,,0,0,0,37,27,10,5,3,0,1,0,9,5,0,0,3,2,2,3,5,0,0,18,6,2,0,0,0,1,0,2026-09-01T10:31:04.939315+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Vissel Kobe,Boniface Nduka,D,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:31:04.939210+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Vissel Kobe,Daiya Maekawa,G,90,7.7,49,0,0,,,0,0,0,37,25,26,14,0,0,0,0,2,0,2,0,0,0,3,0,11,0,0,12,1,0,0,0,3,0,3,2026-09-01T10:31:04.939090+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Vissel Kobe,Diego,M,90,7.2,52,0,0,,,1,0,2,35,23,4,3,2,1,3,3,5,2,1,1,0,0,2,0,4,0,0,14,1,1,0,0,0,0,0,2026-09-01T10:31:04.939037+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Cerezo Osaka,Dion Cools,D,90,7.4,71,0,0,,,0,0,1,59,48,14,5,0,0,1,1,6,8,4,6,0,0,3,0,7,0,0,12,1,2,0,0,0,1,0,2026-09-01T10:31:04.939276+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Vissel Kobe,Gotoku Sakai,D,90,7.4,57,0,0,,,2,0,1,35,29,6,4,2,1,0,0,1,0,0,0,0,0,4,3,3,2,0,7,1,0,0,0,0,0,0,2026-09-01T10:31:04.939062+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Cerezo Osaka,Hayato Okuda,D,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-01T10:31:04.939481+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Vissel Kobe,Hyoei Kawabata,F,45,6.5,22,0,0,,,0,0,0,13,7,2,0,1,0,3,1,2,4,0,0,0,0,0,1,1,0,0,10,1,2,0,0,0,0,0,2026-09-01T10:31:04.939166+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Vissel Kobe,Issei Takahashi,D,1,,4,0,0,,,0,0,0,3,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2026-09-01T10:31:04.939202+00:00
Japao J1 League 2026/2027,Vissel Kobe - Cerezo Osaka,2026-08-29T10:00:00+00:00,finished,4,1-0,Cerezo Osaka,Jackson Irvine,M,90,6.5,57,0,0,,,1,0,1,47,37,5,2,2,1,0,0,1,5,1,2,0,0,2,2,2,0,1,13,1,2,0,0,0,1,0,2026-09-01T10:31:04.939296+00:00
